year,district,type,id,displayname,Partei,Name Partei/Wählervereinigung,voters_0,voters_1,voters_2,voters_3,voters_4,voters_5,voters,votes,votes_per_voter,person_party_voters_0,person_party_voters_1,person_party_voters_2,person_party_voters_3,person_party_voters_4,person_party_voters_5,person_party_voters,person_party_votes,person_party_votes_per_voter,party_voters_0,party_voters_1,party_voters_2,party_voters_3,party_voters_4,party_voters_5,party_voters,party_votes,party_votes_per_voter,num_cands,Titel,Name,Vorname,Geschlecht,Geburtsjahr,Geburtsort,Beruf,PLZ,Wohnort,Stadt- oder Ortsteil,Listenplatz,party_id,Farbe,mds_x_all,mds_x_parties,mds_y_all,mds_y_parties,mds2_x_all,mds2_x_parties,mds2_y_all,mds2_y_parties,mds3_x_all,mds3_df_mds_x_parties,mds3_y_all,mds3_df_mds_y_parties
2011,Bremen,list,100,SPD,SPD,Sozialdemokratische Partei Deutschlands,167880,12278,13684,12622,3187,23232,65003,206420,3.1755457440425827,159193,14370,16363,11973,5364,25620,73690,232571,3.1560727371420816,117163,9810,17871,20173,6410,61456,115720,438991,3.7935620463187005,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#ff0000,0.04284078044607239,0.48904933671187406,-0.1001460155909455,0.04500078119618535,-0.32858614185019797,-0.14187899610397434,-0.2537642153815932,-0.13740363455645804,-0.6164986508290012,NA,0.5030222434221018,NA
2011,Bremen,list,200,CDU,CDU,Christlich Demokratische Union Deutschlands,198512,4232,4562,4582,1661,19334,34371,130416,3.7943615257048093,204720,4890,5121,3391,1904,12857,28163,97206,3.4515499059049106,177679,4761,5702,5051,2146,37544,55204,227622,4.123288167524093,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#000000,0.015451726020774421,0.11265023401219973,0.020309179110388566,0.3558497589895583,0.35232929404747165,0.3422199054092427,-0.21485598842932846,-0.25247146321999253,-0.3254236286149517,NA,-0.8156581747514081,NA
2011,Bremen,list,300,GRÜNE,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,179350,10062,14207,9241,2538,17485,53533,163776,3.0593465712737937,198696,10340,10008,4819,1826,7194,34187,88087,2.5766226928364584,155145,10804,21080,12999,4373,28482,77738,251863,3.2398955465795365,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#009933,0.03983283028233528,0.4939856718804082,-0.09671240929204433,-0.03314311564275146,-0.2844863534416522,-0.33386475371694124,0.07618577368212125,-0.13172842303430218,0.025834099690888145,NA,0.605142555274829,NA
2011,Bremen,list,400,DIE LINKE,DIE LINKE,DIE LINKE,218496,3614,3050,1673,518,5532,14387,44465,3.0906373809689303,225997,2064,1339,712,374,2397,6886,20359,2.9565785652047634,212950,4484,3985,2110,730,8624,19933,64824,3.252094516630713,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#990033,0.018595273266703894,0.1425938966995228,-0.05058123342620541,-0.27541817567232973,-0.07260398190753486,-0.32238327837017483,0.21353230881867796,0.04071212679011378,0.6030369750293713,NA,0.20974617519114946,NA
2011,Bremen,list,500,FDP,FDP,Freie Demokratische Partei,227434,1522,1303,592,139,1893,5449,15925,2.9225545971737934,229136,1486,894,329,121,917,3747,9330,2.489991993594876,224298,2386,2101,809,205,3084,8585,25255,2.94175888177053,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#e6e600,0.007280113969263906,-0.048177534807906285,0.014776410185801187,0.32202284778888346,0.10279751585451424,0.2668346291945897,-0.01861765032222683,-0.313564850161732,0.020425583028429416,NA,-0.2969721676163912,NA
2011,Bremen,list,600,BIW,BIW,Bürger in Wut,224318,2225,1605,879,232,3624,8565,27120,3.1663747810858145,230012,1049,609,285,169,759,2871,7593,2.644723092998955,222251,2549,2010,983,255,4835,10632,34713,3.264954853273138,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#ff9900,-0.006127416504066514,-0.11379613038043826,0.02270686184951529,0.06810742460987089,0.06852416608181824,0.1936285389298515,0.1369414555560735,0.3116712760930403,0.25098968615080774,NA,-0.10649269421059991,NA
2011,Bremen,list,700,BBL,BBL,Bremer & Bremerhavener Bürger Liste,231533,533,287,128,21,381,1350,3480,2.577777777777778,232028,412,178,54,26,185,855,1959,2.2912280701754386,230793,832,444,160,31,623,2090,5439,2.602392344497608,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,6.302597234464305e-4,-0.1847050572930231,0.01995215512785733,0.10203475952975354,0.024477844311545576,0.1699018004044706,0.03119760186754406,-0.029231400092582002,0.0973794550223769,NA,-0.07175061381164197,NA
2011,Bremen,list,800,Dialog Grundeinkommen,Dialog Grundeinkommen,"Bremer Dialog - Freiheit, Gleichheit, Grundeinkommen",231125,795,406,177,41,339,1758,3997,2.2736063708759953,232326,288,109,75,17,68,557,1139,2.044883303411131,230678,982,488,218,61,456,2205,5136,2.329251700680272,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,0.009916566304149917,-0.10103641037498018,-0.02447325067252379,-0.33416641996177354,-0.032098101889881415,-0.3567347599697086,0.0948844944379324,0.04551672014850775,0.13484342304313568,NA,0.06987215312032487,NA
2011,Bremen,list,900,B+B,B+B,Bremer und Bremerhavener Wählergemeinschaft,231275,500,319,158,41,590,1608,4726,2.939054726368159,230892,774,425,187,67,538,1991,5143,2.5831240582621797,229524,1054,673,300,91,1241,3359,9869,2.9380768085739803,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,0.0015194064932060164,-0.1642733645230546,0.020451439222930193,0.15304128345941637,0.043914064862317706,0.20184251876677806,0.02088358104480497,-0.1424515014049194,0.06375815881169827,NA,-0.15616059429578835,NA
2011,Bremen,list,1000,BIP,BIP,Bremische Integrations-Partei Deutschlands,232122,420,138,46,14,143,761,1605,2.109067017082786,232124,302,139,50,24,244,759,2046,2.6956521739130435,231432,644,276,85,30,416,1451,3651,2.516195727084769,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,0.005864721680640818,-0.11647080725841231,0.001479300689462543,-0.15379266863576446,-0.029552211963380263,-0.18181046864036937,0.03478193004408936,-0.19172101010142834,0.06052652795738217,NA,0.06155747555660311,NA
2011,Bremen,list,1100,FREIE WÄHLER,FREIE WÄHLER,FREIE WÄHLER BREMEN,232114,330,156,82,20,181,769,1873,2.435630689206762,232611,153,47,11,21,40,272,564,2.073529411764706,231896,423,197,97,21,249,987,2437,2.469098277608916,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,-0.005340522255933731,-0.18673466053284787,0.029380246813331228,0.0040972158133815145,0.018602609219139258,0.12078803916732157,0.04670120661270587,0.12288367137980222,0.07050336391832442,NA,-0.0342122968602125,NA
2011,Bremen,list,1300,NPD,NPD,Nationaldemokratische Partei Deutschlands,229132,687,510,347,102,2105,3751,13681,3.6472940549186883,232100,210,193,79,75,226,783,2263,2.8901660280970627,228666,652,590,334,95,2546,4217,15944,3.780886886412141,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,-0.07644135343776955,-0.13566760071488687,-0.010653285502592863,0.005316057996427003,0.06595830316931486,0.1673428083950495,0.15011013327165548,0.424549047174603,0.15893029571298328,NA,-0.0653569866061752,NA
2011,Bremen,list,1400,PIRATEN,PIRATEN,Piratenpartei Deutschland,226056,2466,1582,706,156,1917,6827,17957,2.630291489673356,231520,618,295,131,79,240,1363,3117,2.2868672046955245,225019,2757,1802,809,194,2302,7864,21074,2.6798067141403865,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,0.006483134813532384,-0.04024992222972403,-0.020755323876678753,-0.25716468300420103,-0.023703879558680224,-0.2001264046259318,0.12146616395546808,0.11012976775526893,0.19527156942872642,NA,0.04706429665573724,NA
2011,Bremen,list,1600,RRP,RRP,Rentnerinnen und Rentner Partei,230676,895,383,176,33,720,2207,5921,2.68282736746715,231729,456,242,106,61,289,1154,2947,2.553726169844021,229778,1080,598,248,47,1132,3105,8868,2.856038647342995,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#808080,-0.00382764010161489,-0.14716765118872918,0.04415987906939942,-0.0017850664666574723,0.005914913131913612,0.07424042115979491,0.030071373130394267,0.1431096732300791,0.0623543967940599,NA,-0.02116054807075181,NA
2011,Bremerhaven,list,100,SPD,SPD,Sozialdemokratische Partei Deutschlands,28081,1611,1950,2176,513,6909,13159,48636,3.696025533855156,35506,1283,1263,802,419,1967,5734,17726,3.091384722706662,24214,1368,2459,2640,639,9920,17026,66362,3.8976858921649242,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#ff0000,-0.05967245942714609,0.17717657481251534,-0.0468303428937944,-0.4467130819681665,-0.2732042267752843,-0.046014074911248884,-0.1315452373210728,-0.28121047301253993,0.18309344541299383,NA,0.4782893876639467,NA
